sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
162,42,4.2,1,215635.7591975,215635.7891405,29.47040001163259,29.94300000136718,23.46140000736341,4.072299983818084,0.0,True,ok,3989,3989
163,43,4.3,1,215635.7924861,215635.8174786,24.306399980559945,24.992499995278195,20.34260000800714,2.604799985419959,0.0,True,ok,4294,4294
164,44,4.4,1,215635.8259448,215635.8506519,23.652999982004985,24.70710000488907,20.105100004002452,2.1800999820698053,0.0,True,ok,4623,4623
165,45,4.5,1,215635.8587603,215635.8829234,23.638100014068186,24.163099995348603,19.80329997604713,2.4772000033408403,0.0,True,ok,4708,4708
166,46,4.6000000000000005,1,215635.8925779,215635.9236631,30.344099999638274,31.085199996596202,25.913899997249246,3.0667000100947917,0.0,True,ok,4834,4834
167,47,4.7,1,215635.9255627,215635.9538144,27.39020000444725,28.251700015971437,23.0065000068862,3.0229999974835664,0.0,True,ok,4677,4677
168,48,4.800000000000001,1,215635.9591423,215635.985394,25.566999975126237,26.251699979184195,22.076199995353818,2.142799989087507,0.0,True,ok,4591,4591
169,49,4.9,1,215635.992471,215636.0209024,27.955500001553446,28.431399987312034,23.054799996316433,3.5641999857034534,0.0,True,ok,4442,4442
170,50,5.0,1,215636.0257881,215636.0544082,28.139600006397814,28.62009999807924,24.60970001993701,2.2046999947633594,0.0,True,ok,4408,4408
171,51,5.1000000000000005,1,215636.0591602,215636.0835932,23.833499988541007,24.4329999841284,20.045400015078485,2.45349999750033,0.0,True,ok,4418,4418
172,52,5.2,1,215636.0924909,215636.1215421,28.558300022268668,29.05120002105832,25.122699997154996,2.087000000756234,0.0,True,ok,4600,4600
173,53,5.300000000000001,1,215636.1258785,215636.1512185,24.674099986441433,25.33999999286607,21.15149999735877,2.223399991635233,0.0,True,ok,4489,4489
174,54,5.4,1,215636.1594388,215636.1862782,26.122900017071515,26.83940000133589,22.09650000440888,2.6618000119924545,0.0,True,ok,4625,4625
175,55,5.5,1,215636.1922341,215636.2171353,24.423499999102205,24.90119999856688,20.88600001297891,2.195500012021512,0.0,True,ok,4379,4379
176,56,5.6000000000000005,1,215636.2256305,215636.2539889,27.936500002397224,28.358399984426796,23.83470002678223,2.639800019096583,0.0,True,ok,4212,4212
177,57,5.7,1,215636.2591227,215636.284488,24.761800013948232,25.36530001088977,21.04490000056103,2.4384999996982515,0.0,True,ok,4229,4229
178,58,5.800000000000001,1,215636.2925499,215636.3161991,23.13549999962561,23.64919998217374,19.36599999316968,2.3416999902110547,0.0,True,ok,4294,4294
179,59,5.9,1,215636.3258544,215636.3551281,28.60849999706261,29.2736999981571,23.018900013994426,2.7987999783363193,0.0,True,ok,4337,4337
180,60,6.0,1,215636.3589599,215636.3865634,27.098899998236448,27.603499998804182,23.250300000654534,2.4924000026658177,0.0,True,ok,4334,4334
181,61,6.1000000000000005,1,215636.3921854,215636.4189753,26.238699996611103,26.789900002768263,22.559800010640174,2.1940000005997717,0.0,True,ok,4169,4169
182,62,6.2,1,215636.4255577,215636.4516325,25.604599999496713,26.07480000006035,20.724100002553314,3.100600006291643,0.0,True,ok,4172,4172
183,63,6.300000000000001,1,215636.4592502,215636.48558,25.773600005777553,26.32980002090335,22.11009999155067,2.373700001044199,0.0,True,ok,4147,4147
184,64,6.4,1,215636.4926415,215636.5181426,25.033599988091737,25.501099997200072,20.860200020251796,2.699200005736202,0.0,True,ok,4178,4178
