sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
82,82,8.200000000000001,0,215324.7519457,215324.7580576,5.505200009793043,6.111900001997128,2.3175000096671283,1.863300014520064,0.0,True,ok,4288,4288
83,83,8.3,0,215324.7850899,215324.7912187,5.619000003207475,6.128800014266744,2.3419999924954027,1.9558999920263886,0.0,True,ok,4269,4269
84,84,8.4,0,215324.8185838,215324.8256052,5.919499992160127,7.0214000006671995,2.4030999920796603,2.0992000063415617,0.0,True,ok,3996,3996
85,85,8.5,0,215324.8518417,215324.8581025,5.536899989238009,6.260800000745803,2.160699979867786,2.0557000243570656,0.0,True,ok,4318,4318
86,86,8.6,0,215324.8853132,215324.8921274,5.859199998667464,6.814199994551018,2.583499997854233,1.939000008860603,0.0,True,ok,4410,4410
87,87,8.700000000000001,0,215324.91837,215324.9247245,5.731899989768863,6.3544999866280705,2.2791000083088875,2.104299986967817,0.0,True,ok,4345,4345
88,88,8.8,0,215324.9520898,215324.9604216,7.790500007104129,8.331799996085465,3.912599990144372,2.596700011054054,0.0,True,ok,3995,3995
89,89,8.9,0,215324.9852244,215324.991358,5.570600013015792,6.1335999926086515,2.269499993417412,2.0241999882273376,33.13460000208579,True,ok,4114,4114
90,90,9.0,0,215325.0187439,215325.0249231,5.710199999157339,6.179199990583584,2.3840999929234385,2.0416000043042004,0.0,True,ok,4407,4407
91,91,9.1,0,215325.0520865,215325.058554,5.948799982434139,6.467499973950908,2.315200021257624,2.1655999880749732,0.0,True,ok,4504,4504
92,92,9.200000000000001,0,215325.0852026,215325.0923074,6.596299994271249,7.1047999954316765,2.5428000080864877,2.7043999871239066,0.0,True,ok,4602,4602
93,93,9.3,0,215325.1187024,215325.1251933,5.746999988332391,6.49089997750707,2.1892999939154834,2.1966999920550734,0.0,True,ok,4719,4719
94,94,9.4,0,215325.1517892,215325.1584446,6.142900005215779,6.65540000773035,2.2555000032298267,2.3680000158492476,0.0,True,ok,4623,4623
95,95,9.5,0,215325.1851414,215325.1915498,5.814299976918846,6.408399989595637,2.224600000772625,2.224600000772625,0.0,True,ok,4555,4555
96,96,9.600000000000001,0,215325.2184716,215325.2249454,5.87009999435395,6.473799992818385,2.3117000237107277,2.1729999862145633,0.0,True,ok,4902,4902
97,97,9.700000000000001,0,215325.2518134,215325.2581004,5.586100014625117,6.286999996518716,2.2140999790281057,2.040599996689707,0.0,True,ok,4793,4793
98,98,9.8,0,215325.2852415,215325.2916052,5.722300003981218,6.363699998473749,2.2345000179484487,2.0517999946605414,0.0,True,ok,4857,4857
99,99,9.9,0,215325.3183798,215325.324955,5.958099995041266,6.575199979124591,2.2508999973069876,2.270099997986108,0.0,True,ok,4985,4985
100,100,10.0,0,215325.3519401,215325.3582649,5.861399986315519,6.324799993308261,2.1758000075351447,2.221500006271526,0.0,True,ok,4973,4973
101,101,10.100000000000001,0,215325.3852815,215325.3929869,6.400099984603003,7.705399999395013,2.5572000013198704,2.453699999023229,0.0,True,ok,4507,4507
102,102,10.200000000000001,0,215325.4185276,215325.4251615,6.038699997588992,6.633899989537895,2.5151000008918345,2.105199993820861,0.0,True,ok,4834,4834
103,103,10.3,0,215325.4519611,215325.4585,6.0187000199221075,6.538899993756786,2.5037000013981014,2.1009000192862004,0.0,True,ok,4943,4943
104,104,10.4,0,215325.4851424,215325.4920256,6.343299988657236,6.883199996082112,2.2779999999329448,2.656800003023818,0.0,True,ok,5082,5082
105,105,10.5,0,215325.5186222,215325.5252532,5.989500001305714,6.630999996559694,2.1417999814730138,2.0186000037938356,0.0,True,ok,4986,4986
106,106,10.600000000000001,0,215325.5519738,215325.5585331,6.076399993617088,6.5593000035732985,2.1659999911207706,2.5332999939564615,33.351599995512515,True,ok,5037,5037
107,107,10.700000000000001,0,215325.5850957,215325.5908553,5.415799998445436,5.759599996963516,2.050700015388429,2.0232000097166747,33.121899992693216,True,ok,5162,5162
108,108,10.8,0,215325.6189056,215325.6252701,5.869499989785254,6.364500004565343,2.264599985210225,2.2612000175286084,0.0,True,ok,4884,4884
